iter	Passed	Remaining
0	135	135220
1	137	68427
2	143	47659
3	146	36536
4	148	29564
5	150	24979
6	152	21619
7	154	19144
8	157	17378
9	159	15743
10	160	14418
11	161	13317
12	163	12381
13	164	11584
14	165	10875
15	167	10285
16	168	9765
17	170	9304
18	172	8909
19	174	8534
20	175	8188
21	176	7863
22	178	7568
23	179	7307
24	180	7050
25	181	6810
26	182	6590
27	184	6390
28	185	6208
29	186	6041
30	188	5903
31	190	5762
32	192	5627
33	195	5553
34	197	5457
35	199	5353
36	202	5265
37	204	5171
38	205	5063
39	207	4972
40	209	4895
41	211	4816
42	213	4751
43	215	4675
44	223	4753
45	225	4680
46	227	4609
47	228	4540
48	230	4476
49	231	4407
50	233	4345
51	234	4281
52	236	4225
53	237	4162
54	238	4096
55	239	4042
56	241	3993
57	242	3939
58	243	3883
59	244	3829
60	245	3785
61	249	3773
62	253	3769
63	256	3750
64	258	3713
65	260	3681
66	261	3643
67	262	3603
68	266	3601
69	269	3574
70	273	3581
71	274	3543
72	276	3510
73	278	3482
74	279	3447
75	281	3425
76	283	3401
77	285	3374
78	286	3345
79	288	3315
80	289	3284
81	291	3259
82	291	3225
83	293	3199
84	295	3178
85	297	3157
86	298	3128
87	299	3101
88	300	3078
89	302	3057
90	303	3031
91	305	3012
92	306	2992
93	313	3021
94	315	3002
95	318	2994
96	319	2976
97	322	2968
98	323	2948
99	326	2935
100	327	2919
101	329	2904
102	331	2888
103	333	2872
104	334	2853
105	335	2833
106	337	2817
107	339	2801
108	340	2784
109	342	2769
110	344	2756
111	346	2743
112	347	2729
113	349	2716
114	350	2697
115	351	2680
116	352	2660
117	353	2643
118	354	2626
119	357	2619
120	358	2604
121	359	2589
122	361	2575
123	362	2563
124	363	2547
125	368	2554
126	371	2551
127	372	2540
128	374	2530
129	377	2524
130	379	2514
131	381	2511
132	383	2501
133	385	2493
134	387	2483
135	389	2473
136	390	2462
137	392	2450
138	393	2436
139	394	2422
140	395	2410
141	398	2405
142	400	2398
143	401	2386
144	402	2375
145	404	2367
146	405	2354
147	407	2343
148	410	2344
149	412	2336
150	416	2342
151	418	2332
152	423	2345
153	425	2337
154	427	2331
155	429	2324
156	431	2315
157	432	2306
158	434	2300
159	436	2292
160	438	2284
161	440	2277
162	441	2265
163	442	2256
164	444	2249
165	446	2243
166	448	2238
167	451	2234
168	452	2226
169	454	2220
170	456	2214
171	458	2205
172	459	2196
173	461	2192
174	463	2184
175	464	2175
176	465	2164
177	466	2154
178	467	2145
179	468	2135
180	469	2126
181	473	2127
182	474	2119
183	475	2110
184	476	2101
185	485	2123
186	489	2126
187	491	2121
188	493	2118
189	495	2112
190	497	2106
191	499	2102
192	501	2097
193	504	2095
194	506	2089
195	507	2081
196	508	2073
197	510	2067
198	513	2066
199	516	2064
200	518	2060
201	519	2053
202	521	2045
203	522	2038
204	524	2033
205	525	2027
206	528	2025
207	530	2020
208	532	2016
209	534	2009
210	535	2002
211	536	1993
212	537	1986
213	544	1998
214	546	1993
215	547	1987
216	549	1981
217	551	1976
218	553	1972
219	554	1966
220	556	1961
221	558	1958
222	560	1953
223	562	1948
224	564	1944
225	567	1944
226	569	1940
227	571	1934
228	573	1929
229	574	1921
230	575	1915
231	577	1912
232	578	1905
233	580	1899
234	581	1893
235	583	1887
236	584	1880
237	586	1876
238	587	1872
239	589	1866
240	590	1859
241	591	1852
242	592	1845
243	594	1841
244	600	1850
245	602	1845
246	603	1841
247	605	1835
248	607	1830
249	608	1824
250	609	1820
251	612	1816
252	614	1815
253	616	1810
254	618	1806
255	619	1801
256	621	1795
257	622	1789
258	623	1783
259	624	1778
260	626	1774
261	628	1770
262	630	1765
263	631	1760
264	632	1755
265	635	1754
266	638	1751
267	639	1747
268	640	1741
269	641	1735
270	642	1729
271	644	1723
272	645	1718
273	646	1713
274	647	1708
275	649	1703
276	654	1709
277	656	1704
278	657	1699
279	659	1695
280	660	1690
281	662	1685
282	663	1681
283	666	1679
284	667	1675
285	669	1671
286	671	1668
287	673	1663
288	674	1658
289	675	1654
290	677	1650
291	679	1646
292	680	1641
293	681	1637
294	683	1632
295	684	1627
296	685	1622
297	686	1618
298	687	1612
299	689	1608
300	690	1603
301	691	1598
302	692	1594
303	694	1590
304	696	1586
305	697	1582
306	699	1578
307	700	1573
308	701	1568
309	702	1564
310	704	1561
311	709	1564
312	710	1560
313	713	1557
314	714	1554
315	716	1550
316	717	1545
317	718	1541
318	720	1539
319	722	1535
320	724	1532
321	726	1528
322	727	1524
323	729	1521
324	732	1521
325	733	1516
326	735	1512
327	736	1509
328	738	1506
329	740	1502
330	741	1499
331	743	1495
332	744	1491
333	746	1487
334	747	1484
335	749	1480
336	750	1476
337	751	1471
338	752	1467
339	753	1462
340	754	1458
341	755	1453
342	756	1449
343	757	1445
344	759	1441
345	760	1438
346	763	1436
347	769	1440
348	770	1437
349	772	1434
350	774	1431
351	775	1427
352	776	1423
353	778	1419
354	780	1417
355	781	1413
356	783	1410
357	784	1407
358	786	1403
359	787	1399
360	788	1396
361	790	1393
362	791	1389
363	793	1385
364	794	1381
365	796	1379
366	797	1376
367	799	1372
368	801	1369
369	802	1366
370	803	1362
371	804	1358
372	805	1354
373	806	1350
374	808	1346
375	808	1342
376	810	1338
377	811	1335
378	813	1332
379	814	1328
380	815	1324
381	816	1321
382	817	1316
383	818	1312
384	819	1309
385	824	1311
386	826	1309
387	828	1306
388	830	1304
389	832	1302
390	834	1299
391	836	1297
392	840	1297
393	841	1294
394	844	1292
395	845	1289
396	846	1286
397	848	1283
398	850	1281
399	852	1278
400	854	1276
401	856	1273
402	857	1270
403	859	1267
404	860	1264
405	861	1260
406	863	1257
407	864	1254
408	865	1250
409	883	1271
410	885	1268
411	886	1265
412	888	1262
413	889	1258
414	890	1255
415	891	1252
416	894	1250
417	896	1248
418	898	1245
419	899	1242
420	901	1239
421	902	1235
422	903	1231
423	905	1230
424	907	1227
425	908	1224
426	910	1221
427	912	1219
428	913	1215
429	914	1212
430	915	1208
431	916	1205
432	918	1202
433	919	1198
434	920	1195
435	921	1191
436	922	1188
437	923	1185
438	924	1181
439	925	1178
440	926	1174
441	928	1171
442	929	1168
443	930	1165
444	931	1161
445	932	1158
446	933	1155
447	935	1152
448	936	1149
449	938	1147
450	942	1147
451	944	1145
452	946	1143
453	948	1140
454	950	1138
455	951	1135
456	954	1133
457	955	1131
458	957	1128
459	959	1126
460	960	1123
461	963	1121
462	965	1119
463	967	1118
464	969	1115
465	973	1115
466	975	1113
467	977	1111
468	981	1110
469	982	1108
